ramp_merge	pie_merge	phi	delta	v_min	time_gap	fitness
0.45	0.89	2.87	0.2	4.29	1.26	83.121
0.64	0.89	1.95	0.32	3.39	1.29	141.683
0.13	0.89	2.03	0.25	4.95	1.36	84.093
0.58	0.9	1.83	0.12	4.53	1.36	188.059
0.39	0.91	3.59	0.13	4.47	1.25	96.993
0.25	0.85	3.55	0.51	5.41	1.22	83.942
0.4	0.95	2.26	0.35	3.6	1.47	333.918
0.57	0.99	3.17	0.28	5.11	1.36	217.439
0.15	0.95	2.27	0.51	3.15	1.27	85.192
0.16	0.9	2.18	0.52	5.53	1.34	84.087
0.4	0.93	2.51	0.35	5.62	1.28	160.304
0.21	0.88	2.2	0.53	4.84	1.48	358.43
0.27	0.98	2.57	0.08	3.9	1.28	82.052
0.3	0.94	2.04	0.37	3.04	1.23	83.177
0.19	0.88	2.44	0.02	4.97	1.39	81.191
0.32	0.91	1.98	0.58	4.79	1.46	382.626
0.51	0.9	1.9	0.13	5.13	1.33	195.898
0.42	0.88	2.42	0.59	3.18	1.48	457.484
0.38	0.9	2.25	0.27	5.13	1.43	343.906
0.45	0.89	2.96	0.25	4.17	1.46	385.923
0.16	0.97	2.05	0.35	4.85	1.23	83.988
0.14	0.92	2.89	0.14	3.44	1.41	84.366
0.55	0.92	2.08	0.27	5.43	1.37	318.66
0.16	0.93	1.86	0.11	5.88	1.3	84.246
0.2	0.97	2.76	0.09	3.58	1.2	84.336
0.42	0.91	1.87	0.08	3.8	1.28	158.915
0.2	0.98	2.83	0.08	3.78	1.45	179.151
0.12	0.87	2.58	0.48	5.68	1.45	83.562
0.41	0.93	3.49	0.34	4.38	1.46	379.15
0.26	0.9	3.1	0.06	3.96	1.2	82.327
0.52	0.93	3.12	0.31	5.99	1.38	234.397
0.5	0.97	3.09	0.41	3.52	1.42	287.835
0.59	0.97	2.94	0.54	3.8	1.44	310.125
0.2	0.91	3.58	0.2	5.69	1.22	83.842
0.45	0.99	2.04	0.48	5.96	1.31	95.188
0.42	0.94	2.49	0.59	4.52	1.23	144.293
0.61	0.96	2.63	0.04	4.28	1.46	363.901
0.24	0.92	3.34	0.25	5.78	1.46	328.025
0.62	0.91	3.41	0.29	3.54	1.3	104.547
0.52	0.96	2.41	0.41	4.35	1.44	388.969
0.62	0.89	3.2	0.4	4.13	1.36	245.858
0.16	0.99	2.82	0.29	5.25	1.22	84.991
0.42	0.92	3.29	0.31	4.7	1.35	233.282
0.12	0.92	2.43	0.43	3.23	1.38	85.105
0.46	0.86	2.47	0.37	3.23	1.43	288.086
0.54	0.93	2.01	0.26	3.87	1.45	298.704
0.51	0.93	2.24	0.31	3.46	1.38	212.404
0.14	0.94	2.69	0.15	5.71	1.4	84.403
0.59	0.92	2.83	0.56	3.15	1.44	303.025
0.15	0.97	2.02	0.59	3.93	1.27	83.759
0.23	0.97	3.51	0.16	5.51	1.2	84.986
0.63	0.87	3.4	0.36	3.88	1.33	166.749
0.3	0.94	3.59	0.02	5.16	1.34	96.804
0.29	0.91	2.95	0.5	3.01	1.24	83.798
0.21	0.89	3.54	0.07	4.71	1.41	174.846
0.18	0.88	2.61	0.25	4.88	1.44	296.529
0.1	0.98	3.05	0.31	4.45	1.47	84.875
0.51	0.86	2.87	0.33	4.24	1.2	93.484
0.42	0.86	3.4	0.09	3.81	1.47	344.128
0.42	0.98	2.84	0.49	5.53	1.42	353.127
0.42	0.99	3.15	0.57	3.51	1.39	219.786
0.53	0.92	3.53	0.3	4.03	1.23	131.591
0.47	0.86	3.41	0.1	3.87	1.22	83.505
0.11	0.92	3.4	0.55	3.83	1.45	85.659
0.63	0.93	2.42	0.28	5.46	1.37	203.524
0.58	0.94	3.56	0.51	5.49	1.29	159.217
0.4	0.89	3.42	0.47	4.66	1.28	91.027
0.59	0.99	2.74	0.55	5.36	1.46	360.865
0.52	0.86	1.9	0.38	5.8	1.39	227.82
0.58	0.94	3.41	0.21	4.02	1.39	424.772
0.11	0.94	2.37	0.17	4.57	1.32	85.067
0.56	0.87	2.8	0.27	4.95	1.45	280.918
0.43	0.9	3.36	0.42	4.87	1.34	204.128
0.31	0.88	1.95	0.21	3.6	1.2	83.774
0.48	0.88	2.46	0.49	5.11	1.3	149.521
0.21	0.92	2.8	0.09	5.15	1.2	84.504
0.17	0.92	1.87	0.39	4.0	1.27	83.854
0.5	0.97	2.79	0.28	5.96	1.34	150.081
0.14	0.95	1.89	0.38	3.93	1.27	83.806
0.57	0.91	2.47	0.22	5.33	1.37	275.958
0.26	0.89	3.57	0.32	3.1	1.37	243.129
0.43	0.85	2.01	0.49	5.58	1.46	513.313
0.53	0.88	1.88	0.39	3.83	1.4	180.36
0.13	0.91	2.93	0.49	3.49	1.32	84.81
0.61	0.89	2.97	0.37	3.24	1.47	379.048
0.48	0.96	3.35	0.32	3.16	1.49	326.724
0.48	0.99	2.26	0.07	5.44	1.22	80.966
0.36	0.99	2.72	0.19	3.03	1.47	419.117
0.27	0.9	2.11	0.43	3.38	1.35	199.196
0.16	0.87	2.8	0.12	3.12	1.28	83.912
0.56	0.88	3.24	0.08	3.33	1.44	338.16
0.38	0.95	3.42	0.39	5.21	1.38	270.269
0.31	0.97	3.03	0.06	5.37	1.4	345.018
0.23	0.88	2.17	0.17	3.13	1.2	84.13
0.19	0.96	2.73	0.55	5.77	1.45	282.703
0.3	0.92	3.34	0.09	4.85	1.34	199.306
0.55	0.97	2.98	0.38	5.88	1.33	185.827
0.23	0.89	3.42	0.55	5.85	1.21	84.118
0.13	0.9	2.56	0.42	3.48	1.43	82.947
0.5	0.95	1.83	0.36	4.65	1.39	221.234
0.12	0.86	2.0	0.19	5.8	1.32	84.689
0.36	0.92	2.89	0.22	5.33	1.33	190.967
0.18	0.92	2.99	0.41	5.04	1.49	288.187
0.53	0.99	2.62	0.42	4.14	1.34	171.782
0.61	0.97	2.76	0.58	5.4	1.29	157.875
0.5	0.86	2.98	0.53	3.71	1.28	81.591
0.24	0.94	3.31	0.32	5.71	1.29	84.009
0.2	0.9	1.9	0.49	4.13	1.48	249.076
0.57	0.89	2.48	0.11	5.18	1.23	83.828
0.38	0.99	3.52	0.22	3.3	1.33	112.511
0.6	0.97	3.3	0.47	3.03	1.46	357.25
0.11	0.99	2.51	0.54	5.13	1.34	86.393
0.24	0.92	2.73	0.25	3.2	1.28	82.141
0.28	0.89	2.2	0.38	3.97	1.3	83.007
0.25	0.9	2.57	0.51	5.32	1.43	326.053
